isbn,title,author,description,category,theme
067976402X,Snow Falling on Cedars,David Guterson,"NATIONAL BESTSELLER • PEN/Faulkner Award Winner • A gripping, tragic, and densely atmospheric masterpiece of courtroom suspense—one that leaves us shaken and changed. ""Haunting .... A whodunit complete with courtroom maneuvering and surprising turns of evidence and at the same time a mystery, something altogether richer and deeper."" —Los Angeles Times San Piedro Island, north of Puget Sound, is a place so isolated that no one who lives there can afford to make enemies. But in 1954 a local fisherman is found suspiciously drowned, and a Japanese American named Kabuo Miyamoto is charged with his murder. In the course of the ensuing trial, it becomes clear that what is at stake is more than a man's guilt. For on San Pedro, memory grows as thickly as cedar trees and the fields of ripe strawberries—memories of a charmed love affair between a white boy and the Japanese girl who grew up to become Kabuo's wife; memories of land desired, paid for, and lost. Above all, San Piedro is haunted by the memory of what happened to its Japanese residents during World War II, when an entire community was sent into exile while its neighbors watched.",Fiction,American Literature Classics
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,Where the Heart Is is a 1995 novel by Billie Letts. It was chosen as an Oprah's Book Club selection in December 1998.,,American Literature Classics
0451524934,1984,George Orwell,Eternal warfare is the price of bleak prosperity in this satire of totalitarian barbarism.,London (England),Apocalyptic Fiction
0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,Continues the story of the Tribulation Force at near one-fourth of the way through their effort to battle evil.,Fiction,Apocalyptic Fiction
0743418174,Good in Bed,Jennifer Weiner,"A contemporary Cinderella tale told with intelligence, wit and style.",Fiction,Arthurian Legend and Medieval Fantasy
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious witch? Where did she come from? How did she become so wicked? And what is the true nature of evil? Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to be the infamous Wicked Witch of the West, a smart, prickly and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.",Fiction,Arthurian Legend and Medieval Fantasy
0375703055,Ellen Foster,Kaye Gibbons,One of the most talked-about and endearing first novels in years bears the story of a female Huck Finn and her search for a true home. Copyright © Libri GmbH. All rights reserved.,Fiction,Cozy Mysteries
0553274295,Where the Red Fern Grows,Wilson Rawls,"Read the beloved classic that captures the powerful bond between man and man’s best friend. This edition also includes a special note to readers from Newbery Medal winner and Printz Honor winner Clare Vanderpool. Billy has long dreamt of owning not one, but two, dogs. So when he’s finally able to save up enough money for two pups to call his own—Old Dan and Little Ann—he’s ecstatic. It doesn’t matter that times are tough; together they’ll roam the hills of the Ozarks. Soon Billy and his hounds become the finest hunting team in the valley. Stories of their great achievements spread throughout the region, and the combination of Old Dan’s brawn, Little Ann’s brains, and Billy’s sheer will seems unbeatable. But tragedy awaits these determined hunters—now friends—and Billy learns that hope can grow out of despair, and that the seeds of the future can come from the scars of the past.",Juvenile Fiction,Cozy Mysteries
044023722X,A Painted House,John Grisham,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community",Fiction,Crime Thrillers and Detective Drama
044021145X,The Firm,John Grisham,A young lawyer works undercover for the F.B.I. to reveal his firm's Mafia connection.,American fiction,Crime Thrillers and Detective Drama
0375727345,House of Sand and Fog,Andre Dubus III,"A cloth bag containing ten copies of the title, that may also include a folder with miscellaneous notes, dicussion questions, biographical information, and reading lists to assist book group dicussion leaders.",Fiction,Culinary Arts
