attendance,current_test_score,current_assignment_score,previous_test_score,previous_assignment_score,fees,gender,dropout_target
62,56,60,68,62,Unpaid,Male,Medium Risk
52,67,69,59,65,Unpaid,Female,Medium Risk
49,46,50,29,28,Paid,Male,High Risk
47,40,47,33,32,Paid,Male,High Risk
76,62,59,45,47,Unpaid,Female,Medium Risk
57,44,50,39,45,Paid,Female,Medium Risk
47,67,61,53,61,Paid,Female,Medium Risk
38,47,31,33,36,Paid,Female,High Risk
65,61,57,54,42,Paid,Female,Low Risk
45,44,56,49,40,Unpaid,Female,High Risk
60,53,46,56,61,Paid,Female,Low Risk
68,53,50,53,61,Unpaid,Male,Medium Risk
48,49,39,36,47,Unpaid,Female,High Risk
74,63,68,63,59,Paid,Male,Low Risk
60,71,64,80,45,Paid,Male,Low Risk
67,61,55,58,38,Paid,Female,Low Risk
52,56,68,50,52,Paid,Female,Low Risk
48,59,59,52,59,Paid,Female,Medium Risk
56,64,53,56,49,Unpaid,Female,Medium Risk
35,46,50,47,48,Unpaid,Female,High Risk
35,40,41,34,40,Paid,Female,High Risk
61,75,68,71,63,Paid,Male,Low Risk
28,40,44,65,56,Paid,Male,High Risk
59,56,44,63,60,Unpaid,Male,Medium Risk
66,51,64,37,58,Paid,Male,Low Risk
86,60,52,57,50,Unpaid,Female,Low Risk
33,43,36,48,37,Paid,Male,High Risk
77,58,53,62,47,Paid,Female,Low Risk
58,68,48,63,54,Paid,Female,Low Risk
66,48,37,51,49,Unpaid,Male,High Risk
59,59,50,58,56,Paid,Female,Low Risk
45,67,65,52,61,Unpaid,Male,Medium Risk
41,55,64,46,63,Unpaid,Male,High Risk
61,65,77,60,60,Paid,Female,Low Risk
43,40,43,44,50,Paid,Male,High Risk
67,60,70,55,85,Paid,Male,Low Risk
64,50,41,53,47,Paid,Male,Medium Risk
65,64,59,51,41,Unpaid,Male,Medium Risk
49,59,58,45,52,Paid,Female,Medium Risk
60,48,51,48,42,Paid,Female,Medium Risk
60,62,68,69,55,Paid,Female,Low Risk
42,52,56,56,89,Paid,Male,Medium Risk
63,69,71,70,65,Paid,Male,Low Risk
66,52,50,46,50,Paid,Female,Low Risk
87,53,59,36,46,Paid,Female,Low Risk
70,62,49,51,55,Paid,Female,Low Risk
45,51,51,44,67,Paid,Female,Medium Risk
64,39,45,34,52,Paid,Male,Medium Risk
44,47,53,55,46,Paid,Male,Medium Risk
50,47,43,63,58,Paid,Female,Medium Risk
37,54,72,64,54,Paid,Male,Medium Risk
48,63,52,63,62,Unpaid,Male,Medium Risk
42,47,19,35,27,Paid,Female,High Risk
38,61,44,53,47,Paid,Female,High Risk
75,51,62,50,50,Paid,Male,Low Risk
62,59,51,56,50,Unpaid,Male,Medium Risk
57,61,72,47,76,Paid,Male,Low Risk
28,38,48,44,44,Paid,Male,High Risk
52,48,44,55,54,Paid,Female,Medium Risk
45,58,58,63,65,Paid,Male,Low Risk
43,43,52,50,54,Unpaid,Male,High Risk
57,67,56,67,56,Paid,Male,Low Risk
52,63,66,67,75,Paid,Female,Medium Risk
55,61,55,60,55,Paid,Male,Medium Risk
56,60,50,76,53,Unpaid,Male,Medium Risk
38,56,62,61,65,Paid,Female,Medium Risk
55,45,48,39,55,Paid,Female,Medium Risk
53,45,44,49,45,Unpaid,Female,High Risk
44,50,53,45,46,Unpaid,Female,High Risk
58,42,32,35,36,Paid,Male,Medium Risk
59,70,71,64,63,Paid,Male,Low Risk
41,47,45,49,42,Paid,Male,High Risk
62,72,64,70,68,Paid,Male,Low Risk
49,53,53,53,46,Paid,Female,Medium Risk
55,59,69,66,85,Unpaid,Male,Medium Risk
44,57,56,75,58,Paid,Male,Medium Risk
43,42,26,37,28,Paid,Male,High Risk
57,58,73,66,63,Unpaid,Female,Medium Risk
43,52,40,67,63,Unpaid,Female,High Risk
48,34,53,37,61,Unpaid,Male,High Risk
33,37,42,40,41,Paid,Female,High Risk
64,48,48,48,55,Paid,Female,Medium Risk
65,48,36,58,52,Paid,Male,Medium Risk
45,64,60,71,63,Paid,Male,Medium Risk
84,86,71,85,76,Paid,Male,Low Risk
